Municipalidad,Alianza,Bancas,Colores,Ediles
Adolfo Alsina,FdT,5,mediumaquamarine,FdT (5)
Adolfo Alsina,Juntos,6,yellow,Juntos (6)
Adolfo Alsina,Juntos Disidente,1,orange,Juntos Disidente (1)
Adolfo Gonzales Chaves,FdT,5,mediumaquamarine,FdT (5)
Adolfo Gonzales Chaves,Juntos,5,yellow,Juntos (5)
Adolfo Gonzales Chaves,Vecinal,2,black,Vecinal (2)
Alberti,FdT,7,mediumaquamarine,FdT (7)
Alberti,Juntos,5,yellow,Juntos (5)
Almirante Brown,FdT,16,mediumaquamarine,FdT (16)
Almirante Brown,Juntos,8,yellow,Juntos (8)
Arrecifes,FdT,4,mediumaquamarine,FdT (4)
Arrecifes,Juntos,9,yellow,Juntos (9)
Arrecifes,Vamos con Vos,1,gold,Vamos con Vos (1)
Avellaneda,FdT,15,mediumaquamarine,FdT (15)
Avellaneda,Juntos,8,yellow,Juntos (8)
Avellaneda,Juntos Disidente,1,orange,Juntos Disidente (1)
Ayacucho,FdT,6,mediumaquamarine,FdT (6)
Ayacucho,Juntos,8,yellow,Juntos (8)
Azul,FdT,7,mediumaquamarine,FdT (7)
Azul,Juntos,5,yellow,Juntos (5)
Azul,Juntos Disidente,3,orange,Juntos Disidente (3)
Azul,Vecinal,3,black,Vecinal (3)
Bahía Blanca,FdT,8,mediumaquamarine,FdT (8)
Bahía Blanca,Juntos,14,yellow,Juntos (14)
Bahía Blanca,Avanza Libertad,2,purple,Avanza Libertad (2)
Balcarce,FdT,6,mediumaquamarine,FdT (6)
Balcarce,Juntos,12,yellow,Juntos (12)
Baradero,FdT,8,mediumaquamarine,FdT (8)
Baradero,Juntos,8,yellow,Juntos (8)
Benito Juárez,FdT,8,mediumaquamarine,FdT (8)
Benito Juárez,Juntos,6,yellow,Juntos (6)
Berazategui,FdT,17,mediumaquamarine,FdT (17)
Berazategui,Juntos,6,yellow,Juntos (6)
Berazategui,Juntos Disidente,1,orange,Juntos Disidente (1)
Berisso,FdT,12,mediumaquamarine,FdT (12)
Berisso,Juntos,7,yellow,Juntos (7)
Berisso,FdT Disidente,1,navy,FdT Disidente (1)
Bolívar,FdT,9,mediumaquamarine,FdT (9)
Bolívar,Juntos,6,yellow,Juntos (6)
Bolívar,Juntos Disidente,1,orange,Juntos Disidente (1)
Bragado,FdT,6,mediumaquamarine,FdT (6)
Bragado,Juntos,10,yellow,Juntos (10)
Bragado,FdT Disidente,1,navy,FdT Disidente (1)
Bragado,Vecinal,1,black,Vecinal (1)
Brandsen,FdT,6,mediumaquamarine,FdT (6)
Brandsen,Juntos,8,yellow,Juntos (8)
Campana,FdT,7,mediumaquamarine,FdT (7)
Campana,Juntos,13,yellow,Juntos (13)
Cañuelas,FdT,10,mediumaquamarine,FdT (10)
Cañuelas,Juntos,8,yellow,Juntos (8)
Capitán Sarmiento,FdT,3,mediumaquamarine,FdT (3)
Capitán Sarmiento,Juntos,9,yellow,Juntos (9)
Carlos Casares,FdT,7,mediumaquamarine,FdT (7)
Carlos Casares,Juntos,6,yellow,Juntos (6)
Carlos Casares,Juntos Disidente,1,orange,Juntos Disidente (1)
Carlos Tejedor,FdT,6,mediumaquamarine,FdT (6)
Carlos Tejedor,Juntos,6,yellow,Juntos (6)
Carmen de Areco,FdT,4,mediumaquamarine,FdT (4)
Carmen de Areco,Juntos,4,yellow,Juntos (4)
Carmen de Areco,Juntos Disidente,1,orange,Juntos Disidente (1)
Carmen de Areco,Vecinal,3,black,Vecinal (3)
Castelli,FdT,6,mediumaquamarine,FdT (6)
Castelli,Juntos,4,yellow,Juntos (4)
Chacabuco,FdT,8,mediumaquamarine,FdT (8)
Chacabuco,Juntos,10,yellow,Juntos (10)
Chascomús,FdT,8,mediumaquamarine,FdT (8)
Chascomús,Juntos,8,yellow,Juntos (8)
Chivilcoy,FdT,5,mediumaquamarine,FdT (5)
Chivilcoy,Juntos,2,yellow,Juntos (2)
Chivilcoy,FdT Disidente,1,navy,FdT Disidente (1)
Chivilcoy,Vecinal,8,black,Vecinal (8)
Chivilcoy,Vamos con Vos,2,gold,Vamos con Vos (2)
Colón,FdT,7,mediumaquamarine,FdT (7)
Colón,Juntos,6,yellow,Juntos (6)
Colón,Fe,1,green,Fe (1)
Coronel de Marina Leonardo Rosales,FdT,4,mediumaquamarine,FdT (4)
Coronel de Marina Leonardo Rosales,Juntos,11,yellow,Juntos (11)
Coronel de Marina Leonardo Rosales,Vecinal,3,black,Vecinal (3)
Coronel Dorrego,FdT,6,mediumaquamarine,FdT (6)
Coronel Dorrego,Juntos,6,yellow,Juntos (6)
Coronel Pringles,FdT,4,mediumaquamarine,FdT (4)
Coronel Pringles,Juntos,8,yellow,Juntos (8)
Coronel Pringles,FIT,2,red3,FIT (2)
Coronel Suárez,FdT,5,mediumaquamarine,FdT (5)
Coronel Suárez,Juntos,9,yellow,Juntos (9)
Coronel Suárez,FdT Disidente,2,navy,FdT Disidente (2)
Daireaux,FdT,7,mediumaquamarine,FdT (7)
Daireaux,Juntos,5,yellow,Juntos (5)
Dolores,FdT,4,mediumaquamarine,FdT (4)
Dolores,Juntos,7,yellow,Juntos (7)
Dolores,Vecinal,1,black,Vecinal (1)
Dolores,Vamos con Vos,2,gold,Vamos con Vos (2)
Ensenada,FdT,13,mediumaquamarine,FdT (13)
Ensenada,Juntos,5,yellow,Juntos (5)
Escobar,FdT,14,mediumaquamarine,FdT (14)
Escobar,Juntos,8,yellow,Juntos (8)
Escobar,Juntos Disidente,1,orange,Juntos Disidente (1)
Escobar,Avanza Libertad,1,purple,Avanza Libertad (1)
Esteban Echeverría,FdT,17,mediumaquamarine,FdT (17)
Esteban Echeverría,Juntos,4,yellow,Juntos (4)
Esteban Echeverría,Vecinal,3,black,Vecinal (3)
Exaltación de la Cruz,FdT,7,mediumaquamarine,FdT (7)
Exaltación de la Cruz,Juntos,6,yellow,Juntos (6)
Exaltación de la Cruz,Juntos Disidente,1,orange,Juntos Disidente (1)
Ezeiza,FdT,14,mediumaquamarine,FdT (14)
Ezeiza,Juntos,6,yellow,Juntos (6)
Florencio Varela,FdT,16,mediumaquamarine,FdT (16)
Florencio Varela,Juntos,5,yellow,Juntos (5)
Florencio Varela,Juntos Disidente,1,orange,Juntos Disidente (1)
Florencio Varela,Peronismo no FdT,2,dimgrey,Peronismo no FdT (2)
Florentino Ameghino,FdT,4,mediumaquamarine,FdT (4)
Florentino Ameghino,Juntos,6,yellow,Juntos (6)
General Alvarado,FdT,7,mediumaquamarine,FdT (7)
General Alvarado,Juntos,9,yellow,Juntos (9)
General Alvear,FdT,6,mediumaquamarine,FdT (6)
General Alvear,Juntos,6,yellow,Juntos (6)
General Arenales,FdT,5,mediumaquamarine,FdT (5)
General Arenales,Juntos,7,yellow,Juntos (7)
General Belgrano,FdT,4,mediumaquamarine,FdT (4)
General Belgrano,Juntos,8,yellow,Juntos (8)
General Guido,FdT,3,mediumaquamarine,FdT (3)
General Guido,Juntos,3,yellow,Juntos (3)
General Juan Madariaga,FdT,4,mediumaquamarine,FdT (4)
General Juan Madariaga,Juntos,8,yellow,Juntos (8)
General La Madrid,FdT,5,mediumaquamarine,FdT (5)
General La Madrid,Juntos,7,yellow,Juntos (7)
General Las Heras,FdT,7,mediumaquamarine,FdT (7)
General Las Heras,Juntos,5,yellow,Juntos (5)
General Lavalle,FdT,1,mediumaquamarine,FdT (1)
General Lavalle,Juntos,4,yellow,Juntos (4)
General Lavalle,Vamos con Vos,1,gold,Vamos con Vos (1)
General Paz,FdT,6,mediumaquamarine,FdT (6)
General Paz,Juntos,6,yellow,Juntos (6)
General Pinto,FdT,7,mediumaquamarine,FdT (7)
General Pinto,Juntos,5,yellow,Juntos (5)
General Pueyrredón,FdT,9,mediumaquamarine,FdT (9)
General Pueyrredón,Juntos,11,yellow,Juntos (11)
General Pueyrredón,Juntos Disidente,2,orange,Juntos Disidente (2)
General Pueyrredón,Vecinal,2,black,Vecinal (2)
General Rodríguez,FdT,7,mediumaquamarine,FdT (7)
General Rodríguez,Juntos,11,yellow,Juntos (11)
General San Martín,FdT,14,mediumaquamarine,FdT (14)
General San Martín,Juntos,5,yellow,Juntos (5)
General San Martín,Juntos Disidente,5,orange,Juntos Disidente (5)
General Viamonte,FdT,6,mediumaquamarine,FdT (6)
General Viamonte,Juntos,6,yellow,Juntos (6)
General Villegas,FdT,7,mediumaquamarine,FdT (7)
General Villegas,Juntos,7,yellow,Juntos (7)
General Villegas,Avanza Libertad,2,purple,Avanza Libertad (2)
Guaminí,FdT,6,mediumaquamarine,FdT (6)
Guaminí,Juntos,6,yellow,Juntos (6)
Hipólito Yrigoyen,FdT,6,mediumaquamarine,FdT (6)
Hipólito Yrigoyen,Juntos,4,yellow,Juntos (4)
Hurlingham,FdT,11,mediumaquamarine,FdT (11)
Hurlingham,Juntos,9,yellow,Juntos (9)
Ituzaingó,FdT,10,mediumaquamarine,FdT (10)
Ituzaingó,Juntos,6,yellow,Juntos (6)
Ituzaingó,Juntos Disidente,4,orange,Juntos Disidente (4)
José C. Paz,FdT,14,mediumaquamarine,FdT (14)
José C. Paz,Juntos,8,yellow,Juntos (8)
José C. Paz,FIT,2,red3,FIT (2)
Junín,FdT,9,mediumaquamarine,FdT (9)
Junín,Juntos,11,yellow,Juntos (11)
La Costa,FdT,8,mediumaquamarine,FdT (8)
La Costa,Juntos,8,yellow,Juntos (8)
La Costa,Juntos Disidente,2,orange,Juntos Disidente (2)
La Matanza,FdT,15,mediumaquamarine,FdT (15)
La Matanza,Juntos,7,yellow,Juntos (7)
