"Municipalidad","Alianza","Bancas","Colores","Ediles"
"Adolfo Alsina","UxP",4,"mediumaquamarine","UxP (4)"
"Adolfo Alsina","Juntos",5,"darkorange","Juntos (5)"
"Adolfo Alsina","LLA",2,"purple","LLA (2)"
"Adolfo Alsina","UCR DxS",1,"hotpink","UCR DxS (1)"
"Adolfo Gonzales Chaves","UxP",6,"mediumaquamarine","UxP (6)"
"Adolfo Gonzales Chaves","Juntos",6,"darkorange","Juntos (6)"
"Alberti","UxP",6,"mediumaquamarine","UxP (6)"
"Alberti","Juntos",6,"darkorange","Juntos (6)"
"Almirante Brown","UxP",16,"mediumaquamarine","UxP (16)"
"Almirante Brown","LLA",4,"purple","LLA (4)"
"Almirante Brown","UCR DxS",1,"hotpink","UCR DxS (1)"
"Almirante Brown","PRO",3,"yellow","PRO (3)"
"Arrecifes","UxP",5,"mediumaquamarine","UxP (5)"
"Arrecifes","PRO",3,"yellow","PRO (3)"
"Arrecifes","PS",1,"mistyrose","PS (1)"
"Arrecifes","UCR",5,"red","UCR (5)"
"Avellaneda","UxP",14,"mediumaquamarine","UxP (14)"
"Avellaneda","Juntos",5,"darkorange","Juntos (5)"
"Avellaneda","PRO",2,"yellow","PRO (2)"
"Avellaneda","Peronismo no UxP",1,"dimgrey","Peronismo no UxP (1)"
"Avellaneda","URyF",1,"steelblue","URyF (1)"
"Avellaneda","LLA Disidente",1,"chocolate","LLA Disidente (1)"
"Ayacucho","UxP",5,"mediumaquamarine","UxP (5)"
"Ayacucho","Juntos",9,"darkorange","Juntos (9)"
"Azul","UxP",5,"mediumaquamarine","UxP (5)"
"Azul","Juntos",1,"darkorange","Juntos (1)"
"Azul","LLA",3,"purple","LLA (3)"
"Azul","UCR DxS",1,"hotpink","UCR DxS (1)"
"Azul","UCR",2,"red","UCR (2)"
"Azul","Peronismo no UxP",1,"dimgrey","Peronismo no UxP (1)"
"Azul","Vecinal",5,"black","Vecinal (5)"
"Bahía Blanca","UxP",8,"mediumaquamarine","UxP (8)"
"Bahía Blanca","Juntos",8,"darkorange","Juntos (8)"
"Bahía Blanca","LLA",2,"purple","LLA (2)"
"Bahía Blanca","URyF",1,"steelblue","URyF (1)"
"Bahía Blanca","LLA Disidente",5,"chocolate","LLA Disidente (5)"
"Balcarce","UxP",5,"mediumaquamarine","UxP (5)"
"Balcarce","Juntos",11,"darkorange","Juntos (11)"
"Balcarce","LLA",2,"purple","LLA (2)"
"Baradero","UxP",7,"mediumaquamarine","UxP (7)"
"Baradero","Juntos",5,"darkorange","Juntos (5)"
"Baradero","LLA",2,"purple","LLA (2)"
"Baradero","PS",1,"mistyrose","PS (1)"
"Baradero","UxP Disidente",1,"navy","UxP Disidente (1)"
"Benito Juárez","UxP",7,"mediumaquamarine","UxP (7)"
"Benito Juárez","Juntos",4,"darkorange","Juntos (4)"
"Benito Juárez","Vecinal",3,"black","Vecinal (3)"
"Berazategui","UxP",15,"mediumaquamarine","UxP (15)"
"Berazategui","Juntos",6,"darkorange","Juntos (6)"
"Berazategui","LLA",1,"purple","LLA (1)"
"Berazategui","URyF",2,"steelblue","URyF (2)"
"Berisso","UxP",11,"mediumaquamarine","UxP (11)"
"Berisso","Juntos",6,"darkorange","Juntos (6)"
"Berisso","LLA",1,"purple","LLA (1)"
"Berisso","URyF",1,"steelblue","URyF (1)"
"Berisso","Vecinal",1,"black","Vecinal (1)"
"Bolívar","UxP",8,"mediumaquamarine","UxP (8)"
"Bolívar","Juntos",6,"darkorange","Juntos (6)"
"Bolívar","LLA",1,"purple","LLA (1)"
"Bolívar","PRO",1,"yellow","PRO (1)"
"Bragado","UxP",7,"mediumaquamarine","UxP (7)"
"Bragado","LLA",2,"purple","LLA (2)"
"Bragado","PRO",2,"yellow","PRO (2)"
"Bragado","UCR",1,"red","UCR (1)"
"Bragado","Vecinal",6,"black","Vecinal (6)"
"Brandsen","UxP",5,"mediumaquamarine","UxP (5)"
